CÓDIGO OACI;CIAD;NOME;MUNICÍPIO;UF;LONGITUDE;LATITUDE;LONGITUDE1;LATITUDE1;ALTITUDE;OPERAÇÃO;DESIGNAÇÃO;COMPRIMENTO;LARGURA;RESISTÊNCIA;SUPERFÍCIE;DESIGNAÇÃO 2;COMPRIMENTO;LARGURA;RESISTÊNCIA;SUPERFÍCIE;DESIGNAÇÃO;COMPRIMENTO;LARGURA;RESISTÊNCIA;SUPERFÍCIE;RAMPA(S) DE APROXIMAÇÃO;FORMATO DA ÁREA DE POUSO;DIMENSÕES;RESISTÊNCIA;SUPERFÍCIE;p1;p2;p3;p4;PORTARIAS;;;;PORTARIA Nº 708/2020;"PORTARIA Nº 773/2019
A Classe I se divide ainda em I-A, sem voo regular e I-B, com voo regular";"PORTARIA Nº 2007/2014 E ALTERAÇÕES
(* = REGIME TARIFÁRIO DIFERENCIADO)";AERONAVE CRÍTICA;TIPO DE APROX. (CABECEIRAS);FREQ. SEMANAL;r1;r2;REFERÊNCIA(S);;SITUAÇÃO;r1;REFERÊNCIA;SITUADO NA AMAZÔNIA LEGAL;OBSERVAÇÕES
SSOK;PR0088;14 Bis;Londrina;PR;"51W 11' 4"", ";"23S 12' 53"" ";-51,184444;-23,214722;593 m;VFR Diurna/Noturna; 11/29;1035 m;18 m;5500Kg/0,50MPa;Asfalto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIJQ;MT0099;A2 Aviação Agrícola Ltda;Alta Floresta;MT;"55W 59' 43"", ";"10S 4' 7"" ";-55,995278;-10,068611;287 m;VFR Diurna; 03/21;1000 m;20 m;5700kg/0,5MPa;Cascalho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SNDH;BA0132;ABA;Barreiras;BA;"45W 1' 21"", ";"12S 9' 37"" ";-45,0225;-12,160278;513 m;VFR Diurna; 13/31;1530 m;25 m;8/F/C/Y/U;Asfalto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIGN;GO0048;ACGC;Mimoso de Goiás;GO;"48W 13' 56"", ";"15S 2' 43"" ";-48,232222;-15,045278;26 m;VFR Diurna; 10/28;1140 m;30 m;5700kg/0,50MPa;Terra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSVR;MA0112;Adão Veríssimo;Itinga do Maranhão;MA;"47W 26' 17"", ";"4S 22' 35"" ";-47,438056;-4,376389;149 m;VFR Diurna; 10/28;800 m;18 m;3.000kg/0,50MPa;Cascalho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SDGA;MS0029;Adecoagro;Angélica;MS;"53W 50' 47"", ";"22S 2' 17"" ";-53,846389;-22,038056;371 m;VFR Diurna; 17/35;1000 m;23 m;5000Kg/0.50MPa;Terra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIOR;SP0191;Adhemar Ribeiro;Santa Rita do Passa Quatro;SP;"47W 28' 12"", ";"21S 38' 31"" ";-47,47;-21,641944;846 m;VFR Diurna; 12/30;680 m;30 m;4000kg/0,50 MPa;Terra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSXN;PA0135;Aéreo Amazônia;Altamira;PA;"55W 6' 53"", ";"8S 17' 54"" ";-55,114722;-8,298333;250 m;VFR Diurna; 07/25;1100 m;50 m;4500 kg/ 0,50 MPa;Piçarra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SJTL;PR0062;Aero Agrícola Gaivota;Jaguapitã;PR;"51W 32' 32"", ";"22S 58' 49"" ";-51,542222;-22,980278;550 m;VFR Diurna/Noturna; 11/29;907 m;20 m;8/F/C/Y/U;Asfalto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SJRT;MT0215;Aero Agrícola Rio Claro;São José do Rio Claro;MT;"56W 43' 53"", ";"13S 26' 3"" ";-56,731389;-13,434167;355 m;VFR Diurna; 13/31;800 m;22 m;5700kg/0,50MPa;Cascalho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWDI;SP0274;Aeroagrícola Solo;Paranapanema;SP;"48W 52' 3"", ";"23S 26' 52"" ";-48,8675;-23,447778;656 m;VFR Diurna; 07/25;600 m;18 m;5600 kg/0,50 MPa;Grama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SJAK;MT0163;Aerobako;Sinop;MT;"55W 26' 4"", ";"11S 55' 2"" ";-55,434444;-11,917222;372 m;VFR Diurna; 11/29;750 m;18 m;5700Kg/0,50MPa;Cascalho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SJKA;MT0189;Aerocampo;Campo Novo do Parecis;MT;"57W 53' 58"", ";"13S 38' 7"" ";-57,899444;-13,635278;548 m;VFR Diurna; 18/36;1685 m;25 m;5700kg/0,50 MPa;Cascalho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SJAV;GO0067;Aerocéu Aviação Agrícola;Chapadão do Céu;GO;"52W 39' 12"", ";"18S 23' 20"" ";-52,653333;-18,388889;838 m;VFR Diurna; 02/20;1017 m;15 m;5700Kg/0.50MPa;Terra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SNVR;BA0147;Aeroclube da Bahia;Vera Cruz;BA;"38W 40' 52"", ";"13S 1' 17"" ";-38,681111;-13,021389;4 m;VFR Diurna; 08/26;1300 m;30 m;7/F/A/Y/T;Asfalto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SNGS;AL0008;Aeroclube de Alagoas;Maceió;AL;"35W 45' 28"", ";"9S 35' 15"" ";-35,757778;-9,5875;90 m;VFR Diurna; 14/32;800 m;21 m;8/F/C/Y/U;Asfalto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSHA;MS0282;Aeroclube de Aquidauana;Aquidauana;MS;"55W 46' 10"", ";"20S 28' 51"" ";-55,769444;-20,480833;189 m;VFR Diurna; 06/24;700 m;30 m;5700kg/0,50 MPa;Cascalho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIBK;RS0058;Aeroclube de Bagé;Bagé;RS;"54W 8' 9"", ";"31S 19' 40"" ";-54,135833;-31,327778;222 m;VFR Diurna; 11/29;570 m;30 m;4000kg/0,50MPa;Grama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSBG;RS0091;Aeroclube de Bento Gonçalves;Bento Gonçalves;RS;"51W 32' 11"", ";"29S 8' 54"" ";-51,536389;-29,148333;673 m;VFR Diurna; 13/31;1000 m;30 m;8/F/C/Y/U;Terra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SJWQ;SP0221;Aeroclube de Birigui - CMTE Munir Djabak;Birigui;SP;"50W 18' 21"", ";"21S 13' 0"" ";-50,305833;-21,216667;408 m;VFR Diurna; 13/31;900 m;18 m;5000kg/0,50MPa;Asfalto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SNKB;PB0015;Aeroclube de Campina Grande;Campina Grande;PB;"35W 59' 25"", ";"7S 10' 42"" ";-35,990278;-7,178333;693 m;VFR Diurna; 10/28;800 m;20 m;5700kg/0,50 MPa;Cascalho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIXE;RS0072;Aeroclube de Eldorado do Sul;Eldorado do Sul;RS;"51W 26' 37"", ";"30S 3' 1"" ";-51,443611;-30,050278;10 m;VFR Diurna; 11/29;1600 m;25 m;8/F/D/Z/U;Saibro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSAF;PR0071;Aeroclube de Foz do Iguaçu;Santa Terezinha de Itaipu;PR;"54W 28' 14"", ";"25S 22' 11"" ";-54,470556;-25,369722;256 m;VFR Diurna; 15/33;1000 m;30 m;3000kg/0,50MPa;Grama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSOW;RS0098;Aeroclube de Frederico Westphalen;Frederico Westphalen;RS;"53W 24' 12"", ";"27S 20' 51"" ";-53,403333;-27,3475;562 m;VFR Diurna; 11/29;900 m;18 m;5.700 kg/0,50 MPa;Asfalto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SDIO;SP0109;Aeroclube de Itápolis;Itápolis;SP;"48W 49' 58"", ";"21S 35' 59"" ";-48,832778;-21,599722;557 m;VFR Diurna/Noturna; 01/19;1320 m;25 m;12/F/C/X/U;Asfalto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SILN;SC0028;Aeroclube de Rio Negrinho;Rio Negrinho;SC;"49W 31' 17"", ";"26S 19' 17"" ";-49,521389;-26,321389;939 m;VFR Diurna; 11/29;1198 m;22 m;5600 kg/ 0,50MPa;Asfalto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSKT;SC0038;Aeroclube de Santa Catarina;São José;SC;"48W 40' 24"", ";"27S 36' 43"" ";-48,673333;-27,611944;7 m;VFR Diurna/Noturna; 03/21;1203 m;18 m;7/F/C/Y/U;Asfalto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SISG;SE0003;Aeroclube de Sergipe;Aracaju;SE;"37W 4' 59"", ";"10S 54' 5"" ";-37,083056;-10,901389;8 m;VFR Diurna; 14/32;500 m;18 m;4000kg/0,50 MPa;Piçarra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIPA;SP0192;Aeroclube São José do Rio Pardo;São José do Rio Pardo;SP;"46W 55' 42"", ";"21S 38' 50"" ";-46,928333;-21,647222;872 m;VFR Diurna; 14/32;1200 m;18 m;7/F/B/X/T;Asfalto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSYS;SP0266;Aero do Vale Miracatu;Miracatu;SP;"47W 30' 11"", ";"24S 18' 20"" ";-47,503056;-24,305556;33 m;VFR Diurna; 08/26;500 m;18 m;5000 Kg/0,50 MPa;Cascalho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWVR;MT0418;Aeródromo do Canarinho;Sinop;MT;"55W 27' 22"", ";"11S 54' 24"" ";-55,456111;-11,906667;380 m;VFR Diurna; 02/20;775 m;18 m;5700Kg/0.50MPa;Cascalho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SILQ;PR0046; Aeroleve Aeródromo Privado;Cascavel;PR;"53W 29' 46"", ";"24S 55' 44"" ";-53,496111;-24,928889;687 m;VFR Diurna; 08/26;480 m;20 m;5000kg/0,50 MPa;Grama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIQI;RS0066;Aerolis;Mostardas;RS;"50W 28' 2"", ";"30S 32' 10"" ";-50,467222;-30,536111;15 m;VFR Diurna; 05/23;584 m;20 m;2000kg/0,50MPa;Grama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWRQ;PI0045;Aero Park;Teresina;PI;"42W 40' 28"", ";"5S 3' 38"" ";-42,674444;-5,060556;128 m;VFR Diurna; 17/35;600 m;18 m;3.000kg/0,5MPa;Piçarra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIPJ;RS0064;Aero Parque Tupã;Tupanciretã;RS;"53W 51' 56"", ";"29S 5' 8"" ";-53,865556;-29,085556;462 m;VFR Diurna; 06/24;700 m;25 m;5.700 kg/0,25 Mpa;Grama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SJGH;RS0077;Aeropel;São Borja;RS;"55W 59' 33"", ";"28S 42' 59"" ";-55,9925;-28,716389;91 m;VFR Diurna; 07/25;600 m;18 m;5000kg/0,50 MPa;Grama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWMZ;MT0369;Aeroporto Agroer Aviação;Rondonópolis;MT;"54W 42' 7"", ";"16S 26' 31"" ";-54,701944;-16,441944;319 m;VFR Diurna; 14/32;850 m;20 m;5700Kg/0,50MPa;Cascalho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SDYS;SC0024;Aeroportobelo;Porto Belo;SC;"48W 37' 52"", ";"27S 10' 25"" ";-48,631111;-27,173611;11 m;VFR Diurna; 05/23;550 m;25 m;5000 kg/ 0,50 MPa;Grama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SJPP;MT0205;Aero Rural;Alta Floresta;MT;"56W 0' 29"", ";"9S 55' 29"" ";-56,008056;-9,924722;298 m;VFR Diurna; 03/21;800 m;30 m;5700Kg/0,50MPa;Cascalho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SNUE;RS0121;Aero Sepé Aviação Agrícola;São Sepé;RS;"53W 38' 23"", ";"30S 11' 5"" ";-53,639722;-30,184722;155 m;VFR Diurna; 02/20;800 m;18 m;4.700Kg/0,50MPa;Grama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SJWA;MG0136;Aerovaço;Bom Jesus do Galho;MG;"42W 27' 29"", ";"19S 35' 17"" ";-42,458056;-19,588056;260 m;VFR Diurna; 11/29;500 m;18 m;5700kg/0,50MPa;Terra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SJJJ;PA0070;Aeroxingu;Altamira;PA;"52W 11' 30"", ";"3S 10' 19"" ";-52,191667;-3,171944;112 m;VFR Diurna; 13/31;700 m;18 m;2073 kg / 0,50 MPa;Piçarra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SNXE;AP0009;Aero Z Ferrus;Ferreira Gomes;AP;"51W 7' 15"", ";"0N 59' 36"" ";-51,120833;0,993333;73 m;VFR Diurna; 05/23;1000 m;18 m;5700kg / 0,50MPa;Piçarra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SJTQ;MT0222;AGD;Campos de Júlio;MT;"59W 15' 30"", ";"13S 41' 53"" ";-59,258333;-13,698056;619 m;VFR Diurna; 10/28;800 m;18 m;5.700Kg/0.50MPa;Terra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWGC;MS0375;Agricenter;Ponta Porã;MS;"55W 34' 31"", ";"22S 37' 31"" ";-55,575278;-22,625278;632 m;VFR Diurna; 18/36;1000 m;30 m;5700 kg / 0,50 MPa;Cascalho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWAG;TO0041;Agrícola Rio Galhão;Mateiros;TO;"46W 4' 37"", ";"10S 25' 29"" ";-46,076944;-10,424722;778 m;VFR Diurna; 08/26;1275 m;23 m;5700kg/0,50 MPa;Cascalho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SJSS;MT0218;Agrifor;Sorriso;MT;"55W 41' 46"", ";"12S 29' 55"" ";-55,696111;-12,498611;385 m;VFR Diurna; 16/34;800 m;18 m;5200kg/0,50 MPa;Cascalho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIHW;SP0180;Agrishow;Ribeirão Preto;SP;"47W 51' 58"", ";"21S 12' 42"" ";-47,866111;-21,211667;595 m;VFR Diurna; 05/23;550 m;18 m;5700Kg/0.50MPa;Terra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIZU;MT0160;Agrochapada;Paranatinga;MT;"54W 16' 36"", ";"13S 26' 9"" ";-54,276667;-13,435833;435 m;VFR Diurna; 04/22;1300 m;30 m;5.700 Kg/0,50 MPa;Cascalho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SNTP;PA0107;Agropalma;Tailândia;PA;"48W 45' 17"", ";"2S 31' 46"" ";-48,754722;-2,529444;20 m;VFR Diurna; 13/31;1300 m;20 m;8/F/A/Y/T;Piçarra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SDWC;MT0070;Agropastoril Bom Pastor;Rondonópolis;MT;"54W 42' 50"", ";"16S 28' 1"" ";-54,713889;-16,466944;344 m;VFR Diurna; 07/25;1000 m;18 m;8/F/B/Y/U;Asfalto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SNMF;MG0157;Agropastoril Monte Alegre;Monte Belo;MG;"46W 15' 2"", ";"21S 21' 2"" ";-46,250556;-21,350556;866 m;VFR Diurna; 03/21;797 m;23 m;3500kg/0,50 MPa;Terra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIEC;MS0073;Agropecuária Cachoeira;Jaraguari;MS;"54W 15' 24"", ";"20S 3' 5"" ";-54,256667;-20,051389;550 m;VFR Diurna; 10/28;800 m;18 m;5.000Kg/0.50MPa;Cascalho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIZS;MT0159;Agropecuária Equus;Gaúcha do Norte;MT;"53W 26' 21"", ";"13S 32' 16"" ";-53,439167;-13,537778;396 m;VFR Diurna; 16/34;800 m;20 m;5700kg/0,50 MPa;Cascalho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SNXS;MT0588;Agropecuária Lazarotto;Tapurah;MT;"56W 37' 27"", ";"12S 36' 58"" ";-56,624167;-12,616111;381 m;VFR Diurna; 10/28;1000 m;20 m;5.700kg/0,50MPa;Cascalho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SNOL;MT0260;Agropecuária Mariana;Alta Floresta;MT;"56W 13' 3"", ";"9S 58' 11"" ";-56,2175;-9,969722;284 m;VFR Diurna; 01/19;900 m;18 m;5600 kg/ 0,50 MPa;Cascalho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWQH;MT0381;Agropecuária Nova Santana;Aripuanã;MT;"60W 32' 52"", ";"10S 8' 30"" ";-60,547778;-10,141667;145 m;VFR Diurna; 10/28;1300 m;25 m;5000Kg/0.50MPa;Cascalho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWCI;GO0203;Agropecuária Rio da Prata;Posse;GO;"46W 32' 54"", ";"14S 13' 30"" ";-46,548333;-14,225;534 m;VFR Diurna; 16/34;895,3 m;18 m;13 F/B/Y/T;Asfalto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SNCO;MS0202;AGROPECUÁRIA SANTA PAOLA;Tacuru;MS;"55W 3' 47"", ";"23S 31' 1"" ";-55,063056;-23,516944;367 m;VFR Diurna; 05/23;800 m;20 m;4500Kg/0.50Mpa;Grama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIVD;MS0134;Agropecuária Santa Rita;Rio Verde de Mato Grosso;MS;"55W 0' 5"", ";"19S 0' 22"" ";-55,001389;-19,006111;635 m;VFR Diurna; 15/33;800 m;18 m;5000kg/0,50MPa;Terra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIHA;RS0061;Agropecuária São Bernardo;São Miguel das Missões;RS;"54W 22' 57"", ";"28S 49' 6"" ";-54,3825;-28,818333;326 m;VFR Diurna; 03/21;820 m;20 m;5000Kg/0,50MPa;Grama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SJRK;PA0077;Agropecuária São Roberto;Santana do Araguaia;PA;"50W 55' 50"", ";"9S 13' 56"" ";-50,930556;-9,232222;262 m;VFR Diurna; 02/20;845 m;18 m;5700Kg/0,50MPa;Piçarra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SJHU;MT0180;Agropecuária Vale do Guaporé;Comodoro;MT;"60W 5' 47"", ";"13S 52' 43"" ";-60,096389;-13,878611;292 m;VFR Diurna; 01/19;750 m;23 m;5700kg/0,50 MPa;Areia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWZA;MT0443;Agrosan;Juara;MT;"58W 7' 2"", ";"11S 23' 49"" ";-58,117222;-11,396944;317 m;VFR Diurna; 01/19;1500 m;30 m; 6/F/B/Y/U;Terra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SDGT;AM0028;Agrotec;Manacapuru;AM;"60W 32' 29"", ";"3S 12' 20"" ";-60,541389;-3,205556;32 m;VFR Diurna; 08/26;1200 m;30 m;5700 kg/0,50 MPa;Asfalto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SNAV;BA0130;Agrovale;Juazeiro;BA;"40W 22' 10"", ";"9S 30' 15"" ";-40,369444;-9,504167;393 m;VFR Diurna; 13/31;1000 m;18 m;5600kg/0,50 MPa;Asfalto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SJYE;RR0089;Água Fria;Uiramutã;RR;"60W 16' 38"", ";"4N 37' 14"" ";-60,277222;4,620556;303 m;VFR Diurna; 10/28;900 m;20 m;4000kg/0,50MPa;Terra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIUA;RS0068;Águas Claras;Viamão;RS;"50W 51' 13"", ";"30S 7' 10"" ";-50,853611;-30,119444;36 m;VFR Diurna/Noturna; 17/35;450 m;20 m;5.000Kg/0,50MPa;Grama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SJQL;MG0130;Águas Claras Aviação Agrícola ;Santa Juliana;MG;"47W 33' 18"", ";"19S 19' 20"" ";-47,555;-19,322222;1020 m;VFR Diurna; 09/27;900 m;25 m;5000kg/0,50MPa;Terra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWIV;PA0142;Águia Branca do Parú;Almeirim;PA;"53W 15' 41"", ";"1S 16' 5"" ";-53,261389;-1,268056;146 m;VFR Diurna; 12/30;700 m;18 m;2100 kg / 0,50 MPa;Piçarra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SJYF;RR0090;Ajarani;Caracaraí;RR;"61W 28' 33"", ";"2N 0' 28"" ";-61,475833;2,007778;181 m;VFR Diurna; 08/26;1000 m;25 m;5600kg/0,50MPa;Cascalho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SDIR;RR0002;Ajarani 2;Iracema;RR;"62W 1' 6"", ";"1N 53' 15"" ";-62,018333;1,8875;41 m;VFR Diurna; 09/27;675 m;17 m;4000 kg/ 0,50 MPa;Piçarra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIGE;TO0018;Alberi Juliani;Lagoa da Confusão;TO;"49W 35' 9"", ";"10S 47' 4"" ";-49,585833;-10,784444;202 m;VFR Diurna; 17/35;1000 m;30 m;5600 kg / 0,50 MPa;Cascalho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SNXI;MG0168;Alberto Ramos;Cordisburgo;MG;"44W 19' 40"", ";"19S 5' 14"" ";-44,327778;-19,087222;755 m;VFR Diurna; 16/34;1400 m;30 m;5.700Kg/0.6MPa;Terra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIQU;MS0122;Alcoolvale;Aparecida do Taboado;MS;"51W 18' 33"", ";"20S 5' 11"" ";-51,309167;-20,086389;390 m;VFR Diurna; 01/19;1000 m;25 m;5600 kg / 0,50 MPa;Grama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SNDG;AM0036;Aldeia;Borba;AM;"59W 47' 31"", ";"6S 28' 25"" ";-59,791944;-6,473611;112 m;VFR Diurna; 18/36;600 m;18 m;5600 kg/0,50 MPa;Cascalho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;PA0247;Aldeia Bona;Almeirim;PA;"54W 39' 45"", ";"1N 12' 59"" ";-54,6625;1,216389; m;VFR Diurna; ; m; m;0;Não definido;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSDY;AP0010;Alegria Alcolumbre;Macapá;AP;"50W 39' 7"", ";"0N 50' 27"" ";-50,651944;0,840833;23 m;VFR Diurna; 14/32;900 m;18 m;2500kg/0,50MPa;Piçarra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SNUF;SP0854;Alfa Airport Posse;Santo Antônio de Posse;SP;"46W 56' 32"", ";"22S 34' 20"" ";-46,942222;-22,572222;717 m;VFR Diurna; 03/21;1500 m;23 m;5.600Kg / 0,50MPa;Terra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SJXJ;MS0191;Alimentos Dallas;Nova Alvorada do Sul;MS;"54W 23' 27"", ";"21S 27' 15"" ";-54,390833;-21,454167;428 m;VFR Diurna; 11/29;795 m;12 m;5700 kg / 0,50 MPa;Asfalto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SJYG;RR0091;Alto Mucajaí;Alto Alegre;RR;"62W 13' 17"", ";"2N 45' 54"" ";-62,221389;2,765;72 m;VFR Diurna; 09/27;600 m;25 m;3000kg/0,50MPa;Grama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
