codigo;latitude;longitude;altitude
SSOK;"23° 12' 53"" S";"51° 11' 4"" W";593 m
SIJQ;"10° 4' 7"" S";"55° 59' 43"" W";287 m
SNDH;"12° 9' 37"" S";"45° 1' 21"" W";513 m
SIGN;"15° 2' 43"" S";"48° 13' 56"" W";26 m
SSVR;"4° 22' 35"" S";"47° 26' 17"" W";149 m
SDGA;"22° 2' 17"" S";"53° 50' 47"" W";371 m
SIOR;"21° 38' 31"" S";"47° 28' 12"" W";846 m
SSXN;"8° 17' 54"" S";"55° 6' 53"" W";250 m
SJTL;"22° 58' 49"" S";"51° 32' 32"" W";550 m
SJRT;"13° 26' 3"" S";"56° 43' 53"" W";355 m
SWDI;"23° 26' 52"" S";"48° 52' 3"" W";656 m
SJAK;"11° 55' 2"" S";"55° 26' 4"" W";372 m
SJKA;"13° 38' 7"" S";"57° 53' 58"" W";548 m
SJAV;"18° 23' 20"" S";"52° 39' 12"" W";838 m
SNVR;"13° 1' 17"" S";"38° 40' 52"" W";4 m
SNGS;"9° 35' 15"" S";"35° 45' 28"" W";90 m
SSHA;"20° 28' 51"" S";"55° 46' 10"" W";189 m
SIBK;"31° 19' 40"" S";"54° 8' 9"" W";222 m
SSBG;"29° 8' 54"" S";"51° 32' 11"" W";673 m
SJWQ;"21° 13' 0"" S";"50° 18' 21"" W";408 m
SNKB;"7° 10' 42"" S";"35° 59' 25"" W";693 m
SIXE;"30° 3' 1"" S";"51° 26' 37"" W";10 m
SSAF;"25° 22' 11"" S";"54° 28' 14"" W";256 m
SSOW;"27° 20' 51"" S";"53° 24' 12"" W";562 m
SDIO;"21° 35' 59"" S";"48° 49' 58"" W";557 m
SILN;"26° 19' 17"" S";"49° 31' 17"" W";939 m
SSKT;"27° 36' 43"" S";"48° 40' 24"" W";7 m
SISG;"10° 54' 5"" S";"37° 4' 59"" W";8 m
SIPA;"21° 38' 50"" S";"46° 55' 42"" W";872 m
SSYS;"24° 18' 20"" S";"47° 30' 11"" W";33 m
SWVR;"11° 54' 24"" S";"55° 27' 22"" W";380 m
SILQ;"24° 55' 44"" S";"53° 29' 46"" W";687 m
SIQI;"30° 32' 10"" S";"50° 28' 2"" W";15 m
SWRQ;"5° 3' 38"" S";"42° 40' 28"" W";128 m
SIPJ;"29° 5' 8"" S";"53° 51' 56"" W";462 m
SJGH;"28° 42' 59"" S";"55° 59' 33"" W";91 m
SWMZ;"16° 26' 31"" S";"54° 42' 7"" W";319 m
SDYS;"27° 10' 25"" S";"48° 37' 52"" W";11 m
SJPP;"9° 55' 29"" S";"56° 0' 29"" W";298 m
SNUE;"30° 11' 5"" S";"53° 38' 23"" W";155 m
SJWA;"19° 35' 17"" S";"42° 27' 29"" W";260 m
SJJJ;"3° 10' 19"" S";"52° 11' 30"" W";112 m
SNXE;"0° 59' 36"" N";"51° 7' 15"" W";73 m
SJTQ;"13° 41' 53"" S";"59° 15' 30"" W";619 m
SWGC;"22° 37' 31"" S";"55° 34' 31"" W";632 m
SWAG;"10° 25' 29"" S";"46° 4' 37"" W";778 m
SJSS;"12° 29' 55"" S";"55° 41' 46"" W";385 m
SIHW;"21° 12' 42"" S";"47° 51' 58"" W";595 m
SIZU;"13° 26' 9"" S";"54° 16' 36"" W";435 m
SNTP;"2° 31' 46"" S";"48° 45' 17"" W";20 m
SDWC;"16° 28' 1"" S";"54° 42' 50"" W";344 m
SNMF;"21° 21' 2"" S";"46° 15' 2"" W";866 m
SIEC;"20° 3' 5"" S";"54° 15' 24"" W";550 m
SIZS;"13° 32' 16"" S";"53° 26' 21"" W";396 m
SNXS;"12° 36' 58"" S";"56° 37' 27"" W";381 m
SNOL;"9° 58' 11"" S";"56° 13' 3"" W";284 m
SWQH;"10° 8' 30"" S";"60° 32' 52"" W";145 m
SWCI;"14° 13' 30"" S";"46° 32' 54"" W";534 m
SNCO;"23° 31' 1"" S";"55° 3' 47"" W";367 m
SIVD;"19° 0' 22"" S";"55° 0' 5"" W";635 m
SIHA;"28° 49' 6"" S";"54° 22' 57"" W";326 m
SJRK;"9° 13' 56"" S";"50° 55' 50"" W";262 m
SJHU;"13° 52' 43"" S";"60° 5' 47"" W";292 m
